Hvul_v3_ATP6	MT_ATP6
Hvul_v3_XM_047274387.1	FXR1
Hvul_v3_XM_047274388.1	
Hvul_v3_XM_047274389.1	SMC4
Hvul_v3_XM_047274390.1	
Hvul_v3_XM_047274391.1	STAG1
Hvul_v3_XM_047274394.1	
Hvul_v3_XM_047274395.1	TXNDC16
Hvul_v3_XM_047274398.1	H1_0
Hvul_v3_XM_047274399.1	H3C13
Hvul_v3_XM_047274400.1	H3C13
Hvul_v3_XM_047274401.1	H3C13
Hvul_v3_XM_047274402.1	H2BC13
Hvul_v3_XM_047274403.1	H2BC13
Hvul_v3_XM_047274404.1	H2AX
Hvul_v3_XM_047274405.1	H4C1
Hvul_v3_XM_047274406.1	H4C1
Hvul_v3_XM_047274407.1	H4C1
Hvul_v3_XM_047274408.1	TRAF6
Hvul_v3_XM_047274409.1	AGO1
Hvul_v3_XM_047274411.1	THOC6
Hvul_v3_XM_047274414.1	NHLRC2
Hvul_v3_XM_047274415.1	AP5Z1
Hvul_v3_XM_047274416.1	URGCP
Hvul_v3_XM_047274417.1	
Hvul_v3_XM_047274418.1	
Hvul_v3_XM_047274420.1	INPPL1
Hvul_v3_XM_047274422.1	WRAP53
Hvul_v3_XM_047274429.1	
Hvul_v3_XM_047274431.1	SLC9A9
Hvul_v3_XM_047274434.1	
Hvul_v3_XM_047274435.1	U2SURP
Hvul_v3_XM_047274436.1	TMEM145
Hvul_v3_XM_047274439.1	NDUFA2
Hvul_v3_XM_047274441.1	
Hvul_v3_XM_047274442.1	
Hvul_v3_XM_047274443.1	
Hvul_v3_XM_047274444.1	
Hvul_v3_XM_047274455.1	
Hvul_v3_XM_047274456.1	
Hvul_v3_XM_047274458.1	VPS13D
Hvul_v3_XM_047274461.1	HMCN1
Hvul_v3_XM_047274467.1	LSM11
Hvul_v3_XM_047274471.1	
Hvul_v3_XM_047274472.1	ZDHHC3
Hvul_v3_XM_047274474.1	GYG1
Hvul_v3_XM_047274475.1	SCUBE3
Hvul_v3_XM_047274478.1	
Hvul_v3_XM_047274481.1	CDKN1B
Hvul_v3_XM_047274482.1	AGFG1
Hvul_v3_XM_047274487.1	NDUFS2
Hvul_v3_XM_047274488.1	
Hvul_v3_XM_047274489.1	
Hvul_v3_XM_047274492.1	
Hvul_v3_XM_047274494.1	DNAH2
Hvul_v3_XM_047274497.1	
Hvul_v3_XM_047274499.1	
Hvul_v3_XM_047274500.1	ZFYVE16
Hvul_v3_XM_047274501.1	
Hvul_v3_XM_047274502.1	ERCC6
Hvul_v3_XM_047274503.1	UVRAG
Hvul_v3_XM_047274507.1	TRAF5
Hvul_v3_XM_047274508.1	TFPI
Hvul_v3_XM_047274512.1	DDAH1
Hvul_v3_XM_047274515.1	KMT5A
Hvul_v3_XM_047274522.1	PANK4
Hvul_v3_XM_047274525.1	
Hvul_v3_XM_047274527.1	
Hvul_v3_XM_047274532.1	PANK4
Hvul_v3_XM_047274534.1	
Hvul_v3_XM_047274535.1	
Hvul_v3_XM_047274539.1	APP
Hvul_v3_XM_047274540.1	TTC12
Hvul_v3_XM_047274541.1	TTN
Hvul_v3_XM_047274543.1	LMOD3
Hvul_v3_XM_047274544.1	
Hvul_v3_XM_047274545.1	C16orf96
Hvul_v3_XM_047274546.1	SLC16A14
Hvul_v3_XM_047274549.1	SAMD3
Hvul_v3_XM_047274550.1	SLC17A5
Hvul_v3_XM_047274551.1	HMCN1
Hvul_v3_XM_047274552.1	CHEK1
Hvul_v3_XM_047274553.1	ANKS3
Hvul_v3_XM_047274554.1	USP9X
Hvul_v3_XM_047274555.1	CIC
Hvul_v3_XM_047274557.1	
Hvul_v3_XM_047274561.1	COL28A1
Hvul_v3_XM_047274565.1	TYR
Hvul_v3_XM_047274567.1	KIF16B
Hvul_v3_XM_047274569.1	
Hvul_v3_XM_047274573.1	
Hvul_v3_XM_047274578.1	
Hvul_v3_XM_047274579.1	
Hvul_v3_XM_047274581.1	TRAF5
Hvul_v3_XM_047274583.1	SLC39A3
Hvul_v3_XM_047274585.1	
Hvul_v3_XM_047274587.1	MEGF8
Hvul_v3_XM_047274588.1	
Hvul_v3_XM_047274590.1	PKNOX2
Hvul_v3_XM_047274592.1	
Hvul_v3_XM_047274593.1	MYO7A
Hvul_v3_XM_047274597.1	
Hvul_v3_XM_047274598.1	AP1S2
Hvul_v3_XM_047274604.1	
Hvul_v3_XM_047274605.1	
Hvul_v3_XM_047274606.1	TRAF5
Hvul_v3_XM_047274607.1	
Hvul_v3_XM_047274614.1	
Hvul_v3_XM_047274616.1	
Hvul_v3_XM_047274618.1	EFHC2
Hvul_v3_XM_047274625.1	
Hvul_v3_XM_047274626.1	FARP2
Hvul_v3_XM_047274627.1	ARHGEF7
Hvul_v3_XM_047274629.1	TRAF5
Hvul_v3_XM_047274630.1	ECT2
Hvul_v3_XM_047274633.1	
Hvul_v3_XM_047274634.1	
Hvul_v3_XM_047274635.1	ZBED1
Hvul_v3_XM_047274637.1	RFC4
Hvul_v3_XM_047274638.1	CER1
Hvul_v3_XM_047274639.1	
Hvul_v3_XM_047274642.1	AL136295.5
Hvul_v3_XM_047274644.1	
Hvul_v3_XM_047274649.1	
Hvul_v3_XM_047274650.1	
Hvul_v3_XM_047274651.1	CCDC39
Hvul_v3_XM_047274652.1	
Hvul_v3_XM_047274653.1	NFRKB
Hvul_v3_XM_047274654.1	COG8
Hvul_v3_XM_047274656.1	ASB15
Hvul_v3_XM_047274662.1	RAB6A
Hvul_v3_XM_047274663.1	TMEM192
Hvul_v3_XM_047274664.1	TM9SF2
Hvul_v3_XM_047274665.1	GAL3ST3
Hvul_v3_XM_047274667.1	ALDH5A1
Hvul_v3_XM_047274668.1	ALDH5A1
Hvul_v3_XM_047274669.1	
Hvul_v3_XM_047274679.1	
Hvul_v3_XM_047274682.1	ASTL
Hvul_v3_XM_047274684.1	AKAP14
Hvul_v3_XM_047274685.1	RCBTB1
Hvul_v3_XM_047274686.1	GAL3ST3
Hvul_v3_XM_047274690.1	AMMECR1L
Hvul_v3_XM_047274691.1	
Hvul_v3_XM_047274692.1	DCAF8
Hvul_v3_XM_047274693.1	TUBGCP3
Hvul_v3_XM_047274695.1	ARHGEF12
Hvul_v3_XM_047274699.1	
Hvul_v3_XM_047274700.1	AP1S2
Hvul_v3_XM_047274701.1	ANKMY1
Hvul_v3_XM_047274703.1	TIGD1
Hvul_v3_XM_047274704.1	SMG9
Hvul_v3_XM_047274708.1	
Hvul_v3_XM_047274709.1	ING3
Hvul_v3_XM_047274710.1	EIF4E2
Hvul_v3_XM_047274711.1	MOGAT2
Hvul_v3_XM_047274712.1	
Hvul_v3_XM_047274713.1	PNP
Hvul_v3_XM_047274716.1	
Hvul_v3_XM_047274717.1	BMS1
Hvul_v3_XM_047274718.1	AGTR1
Hvul_v3_XM_047274719.1	AGTR1
Hvul_v3_XM_047274720.1	
Hvul_v3_XM_047274726.1	PIGS
Hvul_v3_XM_047274727.1	
Hvul_v3_XM_047274731.1	L3MBTL3
Hvul_v3_XM_047274737.1	
Hvul_v3_XM_047274738.1	
Hvul_v3_XM_047274739.1	
Hvul_v3_XM_047274740.1	
Hvul_v3_XM_047274744.1	ANKRD17
Hvul_v3_XM_047274745.1	GRAMD1B
Hvul_v3_XM_047274747.1	ARL14EP
Hvul_v3_XM_047274748.1	MYO5A
Hvul_v3_XM_047274750.1	EYS
Hvul_v3_XM_047274755.1	CNOT10
Hvul_v3_XM_047274756.1	
Hvul_v3_XM_047274757.1	MPPED1
Hvul_v3_XM_047274758.1	
Hvul_v3_XM_047274759.1	
Hvul_v3_XM_047274760.1	DZIP1
Hvul_v3_XM_047274763.1	CEP192
Hvul_v3_XM_047274764.1	CLNS1A
Hvul_v3_XM_047274765.1	
Hvul_v3_XM_047274767.1	
Hvul_v3_XM_047274768.1	
Hvul_v3_XM_047274769.1	
Hvul_v3_XM_047274771.1	
Hvul_v3_XM_047274772.1	
Hvul_v3_XM_047274776.1	ADGRG4
Hvul_v3_XM_047274777.1	
Hvul_v3_XM_047274778.1	
Hvul_v3_XM_047274781.1	
Hvul_v3_XM_047274782.1	
Hvul_v3_XM_047274783.1	
Hvul_v3_XM_047274784.1	IFT80
Hvul_v3_XM_047274786.1	VAT1
Hvul_v3_XM_047274787.1	ROBO1
Hvul_v3_XM_047274794.1	
Hvul_v3_XM_047274796.1	
Hvul_v3_XM_047274797.1	MOGAT2
Hvul_v3_XM_047274798.1	AKR1B1
Hvul_v3_XM_047274799.1	HMCN1
Hvul_v3_XM_047274810.1	LRP2
Hvul_v3_XM_047274815.1	
Hvul_v3_XM_047274821.1	
Hvul_v3_XM_047274822.1	TFF2
Hvul_v3_XM_047274824.1	GNAO1
Hvul_v3_XM_047274841.1	
Hvul_v3_XM_047274843.1	PSMD1
Hvul_v3_XM_047274844.1	OXGR1
Hvul_v3_XM_047274846.1	
Hvul_v3_XM_047274847.1	
Hvul_v3_XM_047274849.1	
Hvul_v3_XM_047274850.1	
Hvul_v3_XM_047274851.1	FUT11
Hvul_v3_XM_047274855.1	
Hvul_v3_XM_047274856.1	FUT11
Hvul_v3_XM_047274859.1	GCC2
Hvul_v3_XM_047274863.1	ABCC1
Hvul_v3_XM_047274865.1	
Hvul_v3_XM_047274866.1	RPL35A
Hvul_v3_XM_047274867.1	
Hvul_v3_XM_047274868.1	MIPEP
Hvul_v3_XM_047274869.1	VPS26C
Hvul_v3_XM_047274870.1	LAMP1
Hvul_v3_XM_047274874.1	
Hvul_v3_XM_047274875.1	UGGT1
Hvul_v3_XM_047274876.1	KHK
Hvul_v3_XM_047274877.1	
Hvul_v3_XM_047274878.1	TNFAIP2
Hvul_v3_XM_047274879.1	SUCLA2
Hvul_v3_XM_047274880.1	XRCC1
Hvul_v3_XM_047274884.1	SVEP1
Hvul_v3_XM_047274890.1	TFDP1
Hvul_v3_XM_047274892.1	ZBED4
Hvul_v3_XM_047274894.1	
Hvul_v3_XM_047274895.1	SVEP1
Hvul_v3_XM_047274897.1	SLC2A6
Hvul_v3_XM_047274898.1	
Hvul_v3_XM_047274899.1	
Hvul_v3_XM_047274900.1	PABPC1
Hvul_v3_XM_047274901.1	ZMYM1
Hvul_v3_XM_047274903.1	
Hvul_v3_XM_047274906.1	PABPC1
Hvul_v3_XM_047274910.1	ADRB2
Hvul_v3_XM_047274911.1	
Hvul_v3_XM_047274912.1	SLC2A8
Hvul_v3_XM_047274913.1	SLC2A8
Hvul_v3_XM_047274917.1	
Hvul_v3_XM_047274919.1	SLC2A8
Hvul_v3_XM_047274921.1	
Hvul_v3_XM_047274922.1	
Hvul_v3_XM_047274924.1	SLC2A8
Hvul_v3_XM_047274925.1	
Hvul_v3_XM_047274926.1	AL359736.1
Hvul_v3_XM_047274930.1	
Hvul_v3_XM_047274931.1	
Hvul_v3_XM_047274936.1	DDX3X
Hvul_v3_XM_047274937.1	
Hvul_v3_XM_047274938.1	KIF15
Hvul_v3_XM_047274939.1	ARMH1
Hvul_v3_XM_047274942.1	PEX19
Hvul_v3_XM_047274944.1	UBASH3B
Hvul_v3_XM_047274945.1	AC012254.2
Hvul_v3_XM_047274954.1	
Hvul_v3_XM_047274957.1	NICN1
Hvul_v3_XM_047274960.1	ZMYM1
Hvul_v3_XM_047274963.1	UXS1
Hvul_v3_XM_047274965.1	
Hvul_v3_XM_047274966.1	ESRP1
Hvul_v3_XM_047274969.1	
Hvul_v3_XM_047274970.1	ERCC5
Hvul_v3_XM_047274972.1	
Hvul_v3_XM_047274973.1	NAA50
Hvul_v3_XM_047274975.1	RAB41
Hvul_v3_XM_047274977.1	MRE11
Hvul_v3_XM_047274979.1	ADGRG4
Hvul_v3_XM_047274983.1	RAB6B
Hvul_v3_XM_047274985.1	TTC3
Hvul_v3_XM_047274992.1	KMT2B
Hvul_v3_XM_047274994.1	ADAMTS3
Hvul_v3_XM_047274995.1	
Hvul_v3_XM_047274996.1	
Hvul_v3_XM_047274997.1	LAMA5
Hvul_v3_XM_047274998.1	ABCC1
Hvul_v3_XM_047275004.1	
Hvul_v3_XM_047275006.1	SCUBE2
Hvul_v3_XM_047275009.1	BARD1
Hvul_v3_XM_047275010.1	
Hvul_v3_XM_047275011.1	C2CD5
Hvul_v3_XM_047275015.1	ERG
Hvul_v3_XM_047275016.1	ASMTL
Hvul_v3_XM_047275017.1	POLR2A
Hvul_v3_XM_047275018.1	SORL1
Hvul_v3_XM_047275021.1	UBA52
Hvul_v3_XM_047275022.1	INTS10
Hvul_v3_XM_047275025.1	
Hvul_v3_XM_047275031.1	LPAR6
Hvul_v3_XM_047275034.1	OPN4
Hvul_v3_XM_047275035.1	SBNO1
Hvul_v3_XM_047275036.1	
Hvul_v3_XM_047275037.1	ARGLU1
Hvul_v3_XM_047275040.1	ATG16L1
Hvul_v3_XM_047275045.1	ATG16L1
Hvul_v3_XM_047275046.1	ATG16L1
Hvul_v3_XM_047275049.1	
Hvul_v3_XM_047275051.1	
Hvul_v3_XM_047275055.1	
Hvul_v3_XM_047275059.1	RBL1
Hvul_v3_XM_047275060.1	
Hvul_v3_XM_047275061.1	ATG16L1
Hvul_v3_XM_047275065.1	
Hvul_v3_XM_047275069.1	ATG16L1
Hvul_v3_XM_047275072.1	ATG16L1
Hvul_v3_XM_047275073.1	ATG16L1
Hvul_v3_XM_047275075.1	
Hvul_v3_XM_047275077.1	
Hvul_v3_XM_047275078.1	
Hvul_v3_XM_047275079.1	
Hvul_v3_XM_047275080.1	
Hvul_v3_XM_047275081.1	GIMAP7
Hvul_v3_XM_047275082.1	PIGL
Hvul_v3_XM_047275084.1	POLD3
Hvul_v3_XM_047275085.1	
Hvul_v3_XM_047275087.1	
Hvul_v3_XM_047275089.1	
Hvul_v3_XM_047275090.1	
Hvul_v3_XM_047275091.1	
Hvul_v3_XM_047275093.1	THBS2
Hvul_v3_XM_047275097.1	
Hvul_v3_XM_047275103.1	ENO1
Hvul_v3_XM_047275110.1	UBAC1
Hvul_v3_XM_047275111.1	OPN4
Hvul_v3_XM_047275112.1	
Hvul_v3_XM_047275115.1	
Hvul_v3_XM_047275116.1	NPY2R
Hvul_v3_XM_047275118.1	
Hvul_v3_XM_047275119.1	
Hvul_v3_XM_047275120.1	SOWAHB
Hvul_v3_XM_047275124.1	
Hvul_v3_XM_047275126.1	ZNFX1
Hvul_v3_XM_047275130.1	B3GALT1
Hvul_v3_XM_047275131.1	EFR3B
Hvul_v3_XM_047275137.1	IWS1
Hvul_v3_XM_047275138.1	
Hvul_v3_XM_047275140.1	
Hvul_v3_XM_047275141.1	
Hvul_v3_XM_047275142.1	ATP11B
Hvul_v3_XM_047275148.1	LRRC40
Hvul_v3_XM_047275149.1	FSTL1
Hvul_v3_XM_047275150.1	GPC6
Hvul_v3_XM_047275151.1	SLC27A1
Hvul_v3_XM_047275153.1	NLRP7
Hvul_v3_XM_047275154.1	PEX6
Hvul_v3_XM_047275155.1	JAG1
Hvul_v3_XM_047275156.1	UBE2K
Hvul_v3_XM_047275157.1	CBL
Hvul_v3_XM_047275159.1	CBSL
Hvul_v3_XM_047275160.1	
Hvul_v3_XM_047275162.1	
Hvul_v3_XM_047275163.1	COL4A5
Hvul_v3_XM_047275164.1	
Hvul_v3_XM_047275165.1	
Hvul_v3_XM_047275166.1	NLRP3
Hvul_v3_XM_047275170.1	NCSTN
Hvul_v3_XM_047275171.1	NLRP12
Hvul_v3_XM_047275172.1	KYAT3
Hvul_v3_XM_047275173.1	
Hvul_v3_XM_047275176.1	FAT4
Hvul_v3_XM_047275177.1	
Hvul_v3_XM_047275178.1	NLRP12
Hvul_v3_XM_047275179.1	
Hvul_v3_XM_047275180.1	
Hvul_v3_XM_047275184.1	DNAJA2
Hvul_v3_XM_047275186.1	
Hvul_v3_XM_047275190.1	NLRP12
Hvul_v3_XM_047275194.1	
Hvul_v3_XM_047275195.1	NLRP12
Hvul_v3_XM_047275197.1	
Hvul_v3_XM_047275198.1	
Hvul_v3_XM_047275199.1	NLRP7
Hvul_v3_XM_047275200.1	
Hvul_v3_XM_047275206.1	
Hvul_v3_XM_047275208.1	
Hvul_v3_XM_047275210.1	NLRP7
Hvul_v3_XM_047275214.1	JAG1
Hvul_v3_XM_047275215.1	NLRP7
Hvul_v3_XM_047275216.1	
Hvul_v3_XM_047275226.1	NLRP12
Hvul_v3_XM_047275228.1	
Hvul_v3_XM_047275232.1	
Hvul_v3_XM_047275233.1	
Hvul_v3_XM_047275234.1	FAT3
Hvul_v3_XM_047275237.1	
Hvul_v3_XM_047275241.1	
Hvul_v3_XM_047275248.1	
Hvul_v3_XM_047275249.1	CARF
Hvul_v3_XM_047275250.1	
Hvul_v3_XM_047275251.1	ADGRB1
Hvul_v3_XM_047275252.1	NLRP14
Hvul_v3_XM_047275256.1	
Hvul_v3_XM_047275258.1	
Hvul_v3_XM_047275259.1	NLRP14
Hvul_v3_XM_047275263.1	
Hvul_v3_XM_047275264.1	
Hvul_v3_XM_047275269.1	NLRP13
Hvul_v3_XM_047275277.1	
Hvul_v3_XM_047275279.1	NLRP13
Hvul_v3_XM_047275281.1	RNF138
Hvul_v3_XM_047275284.1	
Hvul_v3_XM_047275288.1	NLRP3
Hvul_v3_XM_047275289.1	
Hvul_v3_XM_047275293.1	
Hvul_v3_XM_047275295.1	
Hvul_v3_XM_047275298.1	
Hvul_v3_XM_047275299.1	
Hvul_v3_XM_047275302.1	NLRP12
Hvul_v3_XM_047275309.1	
Hvul_v3_XM_047275310.1	
Hvul_v3_XM_047275311.1	NLRP12
Hvul_v3_XM_047275315.1	ARL14EP
Hvul_v3_XM_047275317.1	NLRP12
Hvul_v3_XM_047275323.1	
Hvul_v3_XM_047275325.1	
Hvul_v3_XM_047275326.1	
Hvul_v3_XM_047275330.1	
Hvul_v3_XM_047275331.1	NLRP3
Hvul_v3_XM_047275333.1	NLRP12
Hvul_v3_XM_047275337.1	
Hvul_v3_XM_047275338.1	NLRP12
Hvul_v3_XM_047275341.1	
Hvul_v3_XM_047275344.1	
Hvul_v3_XM_047275350.1	
Hvul_v3_XM_047275351.1	
Hvul_v3_XM_047275354.1	FAT3
Hvul_v3_XM_047275355.1	CELSR2
Hvul_v3_XM_047275356.1	NLRP13
Hvul_v3_XM_047275358.1	NLRP12
Hvul_v3_XM_047275359.1	PPFIA1
Hvul_v3_XM_047275365.1	
Hvul_v3_XM_047275366.1	
Hvul_v3_XM_047275367.1	
Hvul_v3_XM_047275370.1	
Hvul_v3_XM_047275373.1	
Hvul_v3_XM_047275374.1	NLRP12
Hvul_v3_XM_047275380.1	NLRP12
Hvul_v3_XM_047275389.1	
Hvul_v3_XM_047275392.1	
Hvul_v3_XM_047275397.1	NLRP12
Hvul_v3_XM_047275399.1	NLRP12
Hvul_v3_XM_047275408.1	
Hvul_v3_XM_047275409.1	NLRP12
Hvul_v3_XM_047275413.1	PIF1
Hvul_v3_XM_047275414.1	NLRP12
Hvul_v3_XM_047275417.1	
Hvul_v3_XM_047275418.1	
Hvul_v3_XM_047275419.1	NLRP7
Hvul_v3_XM_047275420.1	
Hvul_v3_XM_047275421.1	
Hvul_v3_XM_047275422.1	
Hvul_v3_XM_047275423.1	
Hvul_v3_XM_047275424.1	NLRP12
Hvul_v3_XM_047275429.1	
Hvul_v3_XM_047275430.1	
Hvul_v3_XM_047275432.1	
Hvul_v3_XM_047275433.1	
Hvul_v3_XM_047275434.1	
Hvul_v3_XM_047275439.1	PIF1
Hvul_v3_XM_047275440.1	NLRP14
Hvul_v3_XM_047275442.1	NLRP12
Hvul_v3_XM_047275447.1	KIAA1586
Hvul_v3_XM_047275448.1	NLRP13
Hvul_v3_XM_047275450.1	NLRP12
Hvul_v3_XM_047275451.1	
Hvul_v3_XM_047275452.1	
Hvul_v3_XM_047275454.1	NLRP13
Hvul_v3_XM_047275456.1	HARBI1
Hvul_v3_XM_047275458.1	
Hvul_v3_XM_047275459.1	GRM5
Hvul_v3_XM_047275460.1	
Hvul_v3_XM_047275461.1	C4orf33
Hvul_v3_XM_047275463.1	
Hvul_v3_XM_047275464.1	FIS1
Hvul_v3_XM_047275466.1	CEP295
Hvul_v3_XM_047275467.1	USP2
Hvul_v3_XM_047275469.1	
Hvul_v3_XM_047275473.1	HNF4A
Hvul_v3_XM_047275474.1	
Hvul_v3_XM_047275476.1	
Hvul_v3_XM_047275477.1	NLRP3
Hvul_v3_XM_047275483.1	U2AF1L5
Hvul_v3_XM_047275484.1	
Hvul_v3_XM_047275485.1	NASP
Hvul_v3_XM_047275487.1	
Hvul_v3_XM_047275489.1	DBF4
Hvul_v3_XM_047275490.1	
Hvul_v3_XM_047275491.1	
Hvul_v3_XM_047275492.1	NLRP14
Hvul_v3_XM_047275496.1	POLE
Hvul_v3_XM_047275497.1	ATG4B
Hvul_v3_XM_047275498.1	
Hvul_v3_XM_047275499.1	MB21D2
Hvul_v3_XM_047275501.1	MB21D2
Hvul_v3_XM_047275502.1	RUNX1T1
Hvul_v3_XM_047275505.1	
Hvul_v3_XM_047275508.1	MB21D2
Hvul_v3_XM_047275510.1	EI24
Hvul_v3_XM_047275514.1	BMP1
Hvul_v3_XM_047275519.1	
Hvul_v3_XM_047275523.1	
Hvul_v3_XM_047275525.1	
Hvul_v3_XM_047275526.1	
Hvul_v3_XM_047275527.1	
Hvul_v3_XM_047275533.1	RDH12
Hvul_v3_XM_047275535.1	
Hvul_v3_XM_047275536.1	
Hvul_v3_XM_047275539.1	NLRP14
Hvul_v3_XM_047275541.1	
Hvul_v3_XM_047275547.1	NLRP13
Hvul_v3_XM_047275550.1	MCCC1
Hvul_v3_XM_047275551.1	DNAJC12
Hvul_v3_XM_047275552.1	NLRP7
Hvul_v3_XM_047275558.1	
Hvul_v3_XM_047275559.1	
Hvul_v3_XM_047275560.1	
Hvul_v3_XM_047275561.1	NLRP3
Hvul_v3_XM_047275563.1	CARF
Hvul_v3_XM_047275564.1	
Hvul_v3_XM_047275565.1	
Hvul_v3_XM_047275566.1	ZDHHC6
Hvul_v3_XM_047275567.1	TNC
Hvul_v3_XM_047275569.1	
Hvul_v3_XM_047275570.1	ARHGAP32
Hvul_v3_XM_047275572.1	NLRP3
Hvul_v3_XM_047275574.1	
Hvul_v3_XM_047275575.1	
Hvul_v3_XM_047275576.1	
Hvul_v3_XM_047275577.1	NLRP14
Hvul_v3_XM_047275579.1	NLRP12
Hvul_v3_XM_047275580.1	NLRP14
Hvul_v3_XM_047275584.1	
Hvul_v3_XM_047275585.1	
Hvul_v3_XM_047275587.1	NLRP7
Hvul_v3_XM_047275588.1	NLRP3
Hvul_v3_XM_047275592.1	NLRP3
Hvul_v3_XM_047275593.1	NLRP12
Hvul_v3_XM_047275598.1	
Hvul_v3_XM_047275599.1	
Hvul_v3_XM_047275600.1	
Hvul_v3_XM_047275601.1	NLRP3
Hvul_v3_XM_047275602.1	NLRP3
Hvul_v3_XM_047275604.1	NLRP3
Hvul_v3_XM_047275605.1	
Hvul_v3_XM_047275607.1	NLRP3
Hvul_v3_XM_047275612.1	
Hvul_v3_XM_047275615.1	
Hvul_v3_XM_047275617.1	
Hvul_v3_XM_047275618.1	
Hvul_v3_XM_047275619.1	
Hvul_v3_XM_047275621.1	
Hvul_v3_XM_047275623.1	NLRP3
Hvul_v3_XM_047275628.1	NLRP3
Hvul_v3_XM_047275635.1	NLRP3
Hvul_v3_XM_047275638.1	
Hvul_v3_XM_047275642.1	
Hvul_v3_XM_047275643.1	ZMYM1
Hvul_v3_XM_047275644.1	NLRP12
Hvul_v3_XM_047275649.1	
Hvul_v3_XM_047275652.1	
Hvul_v3_XM_047275654.1	NLRP3
Hvul_v3_XM_047275655.1	NLRP3
Hvul_v3_XM_047275659.1	NLRP13
Hvul_v3_XM_047275660.1	
Hvul_v3_XM_047275661.1	TIGD1
Hvul_v3_XM_047275662.1	
Hvul_v3_XM_047275663.1	
Hvul_v3_XM_047275665.1	
Hvul_v3_XM_047275666.1	
Hvul_v3_XM_047275670.1	NLRP3
Hvul_v3_XM_047275672.1	
Hvul_v3_XM_047275673.1	NLRP12
Hvul_v3_XM_047275678.1	BCAS4
Hvul_v3_XM_047275679.1	NLRP7
Hvul_v3_XM_047275682.1	
Hvul_v3_XM_047275683.1	
Hvul_v3_XM_047275684.1	NLRP12
Hvul_v3_XM_047275686.1	
Hvul_v3_XM_047275687.1	NLRP12
Hvul_v3_XM_047275689.1	RSPH4A
Hvul_v3_XM_047275695.1	NLRP3
Hvul_v3_XM_047275696.1	CARF
Hvul_v3_XM_047275699.1	
Hvul_v3_XM_047275700.1	
Hvul_v3_XM_047275701.1	NLRP13
Hvul_v3_XM_047275704.1	NLRP12
Hvul_v3_XM_047275709.1	
Hvul_v3_XM_047275713.1	PIF1
Hvul_v3_XM_047275714.1	PIF1
Hvul_v3_XM_047275716.1	NLRP3
Hvul_v3_XM_047275724.1	NLRP13
Hvul_v3_XM_047275730.1	
Hvul_v3_XM_047275734.1	ARL14EP
Hvul_v3_XM_047275735.1	NLRP3
Hvul_v3_XM_047275740.1	
Hvul_v3_XM_047275742.1	
Hvul_v3_XM_047275744.1	NLRP3
Hvul_v3_XM_047275747.1	
Hvul_v3_XM_047275748.1	NLRP3
Hvul_v3_XM_047275749.1	
Hvul_v3_XM_047275750.1	NLRP3
Hvul_v3_XM_047275753.1	
Hvul_v3_XM_047275755.1	
Hvul_v3_XM_047275756.1	
Hvul_v3_XM_047275757.1	
Hvul_v3_XM_047275760.1	
Hvul_v3_XM_047275764.1	
Hvul_v3_XM_047275766.1	NLRP3
Hvul_v3_XM_047275770.1	NLRP3
Hvul_v3_XM_047275771.1	
Hvul_v3_XM_047275773.1	DYM
Hvul_v3_XM_047275775.1	
Hvul_v3_XM_047275780.1	NLRP3
Hvul_v3_XM_047275782.1	
Hvul_v3_XM_047275783.1	
Hvul_v3_XM_047275785.1	NLRP9
Hvul_v3_XM_047275787.1	RBBP5
Hvul_v3_XM_047275788.1	LIPE
Hvul_v3_XM_047275789.1	
Hvul_v3_XM_047275794.1	
Hvul_v3_XM_047275796.1	
Hvul_v3_XM_047275801.1	IRAK4
Hvul_v3_XM_047275804.1	
Hvul_v3_XM_047275806.1	
Hvul_v3_XM_047275807.1	PIF1
Hvul_v3_XM_047275808.1	
Hvul_v3_XM_047275809.1	
Hvul_v3_XM_047275810.1	
Hvul_v3_XM_047275811.1	SLC35C2
Hvul_v3_XM_047275813.1	CIAO2B
Hvul_v3_XM_047275814.1	CIAO2B
Hvul_v3_XM_047275815.1	CARF
Hvul_v3_XM_047275816.1	ZNRF2
Hvul_v3_XM_047275818.1	
Hvul_v3_XM_047275821.1	FBLN5
Hvul_v3_XM_047275822.1	
Hvul_v3_XM_047275823.1	
Hvul_v3_XM_047275824.1	ARMT1
Hvul_v3_XM_047275826.1	
Hvul_v3_XM_047275827.1	
Hvul_v3_XM_047275828.1	
Hvul_v3_XM_047275829.1	
Hvul_v3_XM_047275830.1	
Hvul_v3_XM_047275831.1	
Hvul_v3_XM_047275832.1	
Hvul_v3_XM_047275833.1	CARF
Hvul_v3_XM_047275834.1	
Hvul_v3_XM_047275836.1	
Hvul_v3_XM_047275837.1	
Hvul_v3_XM_047275838.1	
Hvul_v3_XM_047275839.1	
Hvul_v3_XM_047275840.1	
Hvul_v3_XM_047275841.1	
Hvul_v3_XM_047275842.1	
Hvul_v3_XM_047275843.1	
Hvul_v3_XM_047275844.1	
Hvul_v3_XM_047275845.1	
Hvul_v3_XM_047275847.1	
Hvul_v3_XM_047275848.1	
Hvul_v3_XM_047275849.1	
Hvul_v3_XM_047275850.1	
Hvul_v3_XM_047275851.1	
Hvul_v3_XM_047275852.1	
Hvul_v3_XM_047275853.1	ARL14EP
Hvul_v3_XM_047275855.1	
Hvul_v3_XM_047275856.1	
Hvul_v3_XM_047275857.1	
