Exapal_XM_021036134.2		
Exapal_XM_021036135.2	methionine_sulfoxide_reductase_B2	SelR/
Exapal_XM_021055376.1	cannabinoid_receptor_1	7tm_1/
Exapal_XM_021055379.2	piezo_type_mechanosensitive_ion_channel_component_1	
Exapal_XM_021055381.2	creatine_kinase_mitochondrial_1A	ATP-gua_PtransN/ATP-gua_Ptrans/
Exapal_XM_021055382.2	calcium_calmodulin_dependent_protein_kinase_II_delta	Pkinase/
Exapal_XM_021055383.2	ribosomal_protein_L14	Ribosomal_L14e/
Exapal_XM_021055384.1	alanyl_tRNA_synthetase_1	tRNA-synt_2c/tRNA_SAD/DHHA1/
Exapal_XM_021055385.1	piezo_type_mechanosensitive_ion_channel_component_1	PIEZO/Piezo_RRas_bdg/
Exapal_XM_021055386.2	sulfotransferase_family_1C_member_2	Sulfotransfer_1/
Exapal_XM_021055387.2	UTP3_small_subunit_processome_component	Sas10_Utp3/Sas10/
Exapal_XM_021055389.2	chromodomain_Y_linked_1	Chromo/ECH_1/
Exapal_XM_021055390.2	cell_division_cycle_associated_7_like	zf-4CXXC_R1/
Exapal_XM_021055391.2		MARVEL/
Exapal_XM_021055392.2		Methyltransf_31/
Exapal_XM_021055393.2	VAC14_component_of_PIKFYVE_complex	Vac14_Fab1_bd/Vac14_Fig4_bd/
Exapal_XM_021055394.2		
Exapal_XM_021055395.2	M_phase_phosphoprotein_8	Chromo/
Exapal_XM_021055396.2	GTPase_IMAP_family_member_7	AIG1/
Exapal_XM_021055397.2		
Exapal_XM_021055399.2		
Exapal_XM_021055400.2		
Exapal_XM_021055401.2		
Exapal_XM_021055402.2		
Exapal_XM_021055404.2	adenosine_A2a_receptor	7tm_1/
Exapal_XM_021055405.2		
Exapal_XM_021055406.2	TBC1_domain_family_member_2B	RabGAP-TBC/WD40_2/
Exapal_XM_021055407.2	proline_rich_transmembrane_protein_4	
Exapal_XM_021055408.2	tachykinin_receptor_2	7tm_1/
Exapal_XM_021055409.2	carbohydrate_sulfotransferase_1	Sulfotransfer_1/
Exapal_XM_021055411.2	BCL2_family_apoptosis_regulator_BOK	Bcl-2/
Exapal_XM_021055412.2	pre_mRNA_processing_factor_38B	PRP38/
Exapal_XM_021055413.2	quiescin_sulfhydryl_oxidase_2	Thioredoxin/QSOX_Trx1/FAD_SOX/Evr1_Alr/
Exapal_XM_021055415.2		MIS13/
Exapal_XM_021055416.2	Ro60_Y_RNA_binding_protein	TROVE/
Exapal_XM_021055418.2	WD_repeat_domain_31	WD40/
Exapal_XM_021055419.2	catenin_alpha_2	Vinculin/Vinculin/ILEI/ILEI/Vinculin/
Exapal_XM_021055420.1	zinc_finger_MYM_type_containing_3	
Exapal_XM_021055421.2	meprin_A_subunit_beta	Astacin/
Exapal_XM_021055422.2	cyclin_and_CBS_domain_divalent_metal_cation_transport_mediator_2	DUF21/CBS/
Exapal_XM_021055423.2		
Exapal_XM_021055424.2	empty_spiracles_homeobox_1	Homeodomain/
Exapal_XM_021055425.2	potassium_voltage_gated_channel_subfamily_A_member_10	Ion_trans_2/
Exapal_XM_021055427.2	dedicator_of_cytokinesis_7	DUF3398/DHR-2/
Exapal_XM_021055428.2	sterol_regulatory_element_binding_transcription_factor_1	HLH/
Exapal_XM_021055430.1		
Exapal_XM_021055431.2		
Exapal_XM_021055436.2	ubiquitin_protein_ligase_E3_component_n_recognin_5	
Exapal_XM_021055437.2	hemicentin_1	I-set/
Exapal_XM_021055438.2	calcium_voltage_gated_channel_auxiliary_subunit_beta_4	
Exapal_XM_021055440.2		
Exapal_XM_021055441.2	tetratricopeptide_repeat_domain_28	TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/CHAT/
Exapal_XM_021055444.2	aggrecan	Kazal_2/Lectin_C/EGF_3/EGF_3/EGF_CA/TLD/
Exapal_XM_021055447.1		HTH_Tnp_4/DDE_Tnp_4/
Exapal_XM_021055449.1		rve/
Exapal_XM_021055450.1		
Exapal_XM_021055452.2		Peptidase_A17/
Exapal_XM_021055454.2	nuclear_apoptosis_inducing_factor_1	Myb_DNA-bind_5/
Exapal_XM_021055455.2	ankyrin_repeat_domain_50	Ank_2/Ank_2/Ank/Ank_2/Ank_2/Ank_4/Ank_2/
Exapal_XM_021055456.2	DEAD_box_helicase_5	DEAD/Helicase_C/
Exapal_XM_021055457.2	kelch_like_family_member_17	BTB/BACK/Kelch_1/Kelch_1/Kelch_1/Kelch_1/Kelch_1/
Exapal_XM_021055458.1	DNA_polymerase_delta_2_accessory_subunit	DNA_pol_D_N/DNA_pol_E_B/
Exapal_XM_021055462.2	SUMO_specific_peptidase_6	
Exapal_XM_021055463.2	tubulin_alpha_1c	Tubulin/
Exapal_XM_021055464.2	mitogen_activated_protein_kinase_kinase_6	Pkinase/
Exapal_XM_021055465.2	kyphoscoliosis_peptidase	CAP_GLY/Transglut_core/
Exapal_XM_021055466.2	dynein_axonemal_intermediate_chain_2	
Exapal_XM_021055467.2	TATA_box_binding_protein_associated_factor_1	DUF3591/zf-CCHC_6/Bromodomain/Bromodomain/
Exapal_XM_021055470.2	glutamine_rich_2	DUF4795/
Exapal_XM_021055473.2	phosphatidylglycerophosphate_synthase_1	PLDc_2/
Exapal_XM_021055474.2	intraflagellar_transport_140	ANAPC4_WD40/
Exapal_XM_021055475.1	late_endosomal_lysosomal_adaptor_MAPK_and_MTOR_activator_2	Robl_LC7/
Exapal_XM_021055476.2	THO_complex_6	WD40/
Exapal_XM_021055477.2	meiosis_spermiogenesis_associated_1	Meiosis_expr/
Exapal_XM_021055478.2	tRNA_splicing_endonuclease_subunit_54	tRNA_int_end_N2/
Exapal_XM_021055480.2	novel_transcript	Nop25/
Exapal_XM_021055482.2	CAS1_domain_containing_1	Cas1_AcylT/
Exapal_XM_021055485.2	family_with_sequence_similarity_32_member_A	DUF1754/
Exapal_XM_021055486.1	WD_repeat_domain_78	WD40/WD40/
Exapal_XM_021055487.2	SWI_SNF_related_matrix_associated_actin_dependent_regulator_of_chromatin_subfamily_a_member_4	
Exapal_XM_021055489.2	elongation_factor_1_homolog	Elf1/
Exapal_XM_021055494.2		SET/
Exapal_XM_021055498.2	testin_LIM_domain_protein	PET/LIM/LIM/
Exapal_XM_021055499.2	hyaluronan_mediated_motility_receptor	HMMR_C/
Exapal_XM_021055500.2	TEF_transcription_factor_PAR_bZIP_family_member	bZIP_2/
Exapal_XM_021055501.2	calcium_voltage_gated_channel_auxiliary_subunit_alpha2delta_3	VWA_N/VWA/VGCC_alpha2/
Exapal_XM_021055502.2	sperm_associated_antigen_9	Jnk-SapK_ap_N/
Exapal_XM_021055503.2	ubiquitin_fold_modifier_1	Ufm1/
Exapal_XM_021055504.2	sodium_channel_and_clathrin_linker_1	CCCAP/
Exapal_XM_021055505.2		
Exapal_XM_021055506.2	anaphase_promoting_complex_subunit_15	ANAPC15/
Exapal_XM_021055507.2	GRB2_associated_binding_protein_1	PH/
Exapal_XM_021055508.2	acid_phosphatase_7_tartrate_resistant_putative	Pur_ac_phosph_N/Metallophos/Metallophos_C/
Exapal_XM_021055510.2		
Exapal_XM_021055511.2		
Exapal_XM_021055514.2	coiled_coil_domain_containing_158	CCDC158/
Exapal_XM_021055516.2		bZIP_2/
Exapal_XM_021055517.2	dynein_cytoplasmic_2_heavy_chain_1	MT/AAA_9/Dynein_heavy/AAA_lid_11/Dynein_C/
Exapal_XM_021055518.1	endothelin_converting_enzyme_2	Peptidase_M13_N/Peptidase_M13/
Exapal_XM_021055520.2	high_mobility_group_box_3	HMG_box/
Exapal_XM_021055521.2		
Exapal_XM_021055522.2		
Exapal_XM_021055523.2	bone_morphogenetic_protein_1	CUB/CUB/
Exapal_XM_021055524.2	tolloid_like_2	Astacin/
Exapal_XM_021055526.2	E1A_binding_protein_p300	zf-TAZ/KIX/Bromodomain/DUF902/HAT_KAT11/ZZ/zf-TAZ/
Exapal_XM_021055528.2	adenylate_cyclase_9	AC_N/Guanylate_cyc/Guanylate_cyc/
Exapal_XM_021055529.2		HTH_Tnp_4/DDE_Tnp_4/
Exapal_XM_021055530.2	propionyl_CoA_carboxylase_subunit_alpha	Biotin_carb_N/CPSase_L_D2/Biotin_carb_C/CT_A_B/CT_C_D/Biotin_lipoyl/
Exapal_XM_021055531.2		GRDP-like/GRDP-like/
Exapal_XM_021055533.2	astacin_like_metalloendopeptidase	Astacin/
Exapal_XM_021055534.2	grainyhead_like_transcription_factor_2	
Exapal_XM_021055535.2	tolloid_like_1	Astacin/CUB/CUB/FXa_inhibition/CUB/FXa_inhibition/CUB/CUB/
Exapal_XM_021055536.2		
Exapal_XM_021055537.1		
Exapal_XM_021055538.2		zf-CCHC/
Exapal_XM_021055539.2	exocyst_complex_component_1	Sec3-PIP2_bind/Sec3_C/
Exapal_XM_021055541.1		
Exapal_XM_021055545.2	mitogen_activated_protein_kinase_8_interacting_protein_3	WD40_2/
Exapal_XM_021055548.2		
Exapal_XM_021055550.2		zf_C2H2_10/
Exapal_XM_021055551.2	HLF_transcription_factor_PAR_bZIP_family_member	bZIP_2/
Exapal_XM_021055554.2	epithelial_cell_transforming_2_like	DUF4347/
Exapal_XM_021055555.2	hemicentin_1	Ig_3/I-set/Ig_3/CUB/
Exapal_XM_021055558.2	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_2/Ank_2/Ank_2/Ion_trans/
Exapal_XM_021055559.2	ectonucleoside_triphosphate_diphosphohydrolase_3	GDA1_CD39/
Exapal_XM_021055561.2	pyruvate_dehydrogenase_E1_subunit_alpha_1	E1_dh/
Exapal_XM_021055562.2		
Exapal_XM_021055563.2		Peptidase_A17/Integrase_H2C2/rve/DUF5641/
Exapal_XM_021055564.2		
Exapal_XM_021055565.2	solute_carrier_family_25_member_24	EF-hand_7/EF-hand_7/
Exapal_XM_021055566.1		DDE_Tnp_4/
Exapal_XM_021055567.1		Peptidase_A17/
Exapal_XM_021055568.2	fibroblast_growth_factor_receptor_2	CBM_14/Ig_3/Ig_3/Ig_3/Pkinase_Tyr/
Exapal_XM_021055569.1		
Exapal_XM_021055570.2		
Exapal_XM_021055571.2	ubiquitin_specific_peptidase_24	UCH/
Exapal_XM_021055573.2	adrenoceptor_alpha_1D	7tm_1/
Exapal_XM_021055574.2		
Exapal_XM_021055577.2	angiotensin_II_receptor_associated_protein	AGTRAP/
Exapal_XM_021055578.1	tetratricopeptide_repeat_domain_36	TPR_8/
Exapal_XM_021055579.2	lysophosphatidylcholine_acyltransferase_3	MBOAT/
Exapal_XM_021055580.2		DDE_Tnp_4/
Exapal_XM_021055582.2	DAZ_interacting_zinc_finger_protein_3	HEPN_DZIP3/TPR_12/
Exapal_XM_021055584.1		
Exapal_XM_021055585.1	piggyBac_transposable_element_derived_4	DDE_Tnp_1_7/
Exapal_XM_021055587.1		Exo_endo_phos_2/RVT_1/
Exapal_XM_021055588.2	WRN_RecQ_like_helicase	DEAD/Helicase_C/
Exapal_XM_021055589.2	neuropeptide_FF_receptor_2	7tm_1/
Exapal_XM_021055593.2	cytochrome_P450_family_20_subfamily_A_member_1	p450/
Exapal_XM_021055596.2	attractin_like_1	Lectin_C/
Exapal_XM_021055597.2	brevican	EGF/Lectin_C/
Exapal_XM_021055598.2		Lectin_C/
Exapal_XM_021055599.2		
Exapal_XM_021055601.2	PIF1_5_to_3_DNA_helicase	PIF1/
Exapal_XM_021055602.2		
Exapal_XM_021055603.2	transmembrane_protein_163	
Exapal_XM_021055605.2	centrosomal_protein_290	
Exapal_XM_021055606.2	parvin_alpha	CH/CH/
Exapal_XM_021055608.2	tissue_factor_pathway_inhibitor	Kunitz_BPTI/KCT2/
Exapal_XM_021055610.2	hypoxia_inducible_factor_1_subunit_alpha_inhibitor	Cupin_8/
Exapal_XM_021055611.2	protein_kinase_cGMP_dependent_1	cNMP_binding/cNMP_binding/Pkinase/
Exapal_XM_021055612.2	eukaryotic_translation_initiation_factor_4E_binding_protein_1	eIF_4EBP/
Exapal_XM_021055613.1	pre_mRNA_processing_factor_40_homolog_A	WW/WW/FF/FF/FF/
Exapal_XM_021055614.2	mitochondrial_pyruvate_carrier_1	MPC/
Exapal_XM_021055616.2	von_Willebrand_factor_A_domain_containing_1	VWA/
Exapal_XM_021055617.2	fukutin_related_protein	LicD/
Exapal_XM_021055618.2		
Exapal_XM_021055619.2	DENN_domain_containing_5A	uDENN/DENN/
Exapal_XM_021055620.2	translational_activator_of_cytochrome_c_oxidase_I	Transcrip_reg/
Exapal_XM_021055621.2	transient_receptor_potential_cation_channel_subfamily_M_member_3	LSDAT_euk/Ion_trans/
Exapal_XM_021055622.2	spermatogenesis_associated_serine_rich_2	DUF1387/
Exapal_XM_021055623.2		
Exapal_XM_021055624.2		
Exapal_XM_021055625.2	cystatin_B	Cystatin/
Exapal_XM_021055626.2	RNA_binding_motif_protein_33	RRM_1/
Exapal_XM_021055628.1	TRAF3_interacting_protein_1	MIP-T3/MIP-T3_C/
Exapal_XM_021055629.2	zinc_finger_protein_622	zf-met/zf-C2H2_2/
Exapal_XM_021055630.1	UBX_domain_protein_4	UBX/
Exapal_XM_021055631.2	StAR_related_lipid_transfer_domain_containing_3	MENTAL/START/
Exapal_XM_021055632.2	SWI_SNF_related_matrix_associated_actin_dependent_regulator_of_chromatin_subfamily_a_like_1	HARP/SNF2_N/Helicase_C/
Exapal_XM_021055633.2	solute_carrier_family_39_member_10	Zip/Zip/
Exapal_XM_021055636.1	mannose_6_phosphate_receptor_cation_dependent	Man-6-P_recep/
Exapal_XM_021055637.2	heat_shock_protein_family_D_Hsp60_member_1	Cpn60_TCP1/
Exapal_XM_021055638.2	acyl_CoA_thioesterase_7	4HBT/4HBT/
Exapal_XM_021055639.2		
Exapal_XM_021055641.2		
Exapal_XM_021055642.2		BEN/
Exapal_XM_021055643.1	milk_fat_globule_EGF_factor_8_protein	F5_F8_type_C/
Exapal_XM_021055644.2	mannose_receptor_C_type_2	PAN_1/Lectin_C/
Exapal_XM_021055646.2	milk_fat_globule_EGF_factor_8_protein	F5_F8_type_C/
Exapal_XM_021055647.2	SRY_box_transcription_factor_14	HMG_box/
Exapal_XM_021055648.1	coagulation_factor_V	PAN_1/F5_F8_type_C/
Exapal_XM_021055650.2	adhesion_G_protein_coupled_receptor_D1	7tm_2/
Exapal_XM_021055651.1		rve/
Exapal_XM_021055653.2		Integrase_H2C2/rve/
Exapal_XM_021055654.2	adhesion_G_protein_coupled_receptor_L3	7tm_2/
Exapal_XM_021055657.2	heat_shock_protein_family_E_Hsp10_member_1	Cpn10/
Exapal_XM_021055660.1	receptor_interacting_serine_threonine_kinase_1	Pkinase/
Exapal_XM_021055661.1		
Exapal_XM_021055662.1		
Exapal_XM_021055663.2	NADPH_oxidase_1	Ferric_reduct/FAD_binding_8/NAD_binding_6/
Exapal_XM_021055666.2	DDHD_domain_containing_1	DDHD/
Exapal_XM_021055667.2		zf-CCHC/
Exapal_XM_021055668.2	coiled_coil_domain_containing_63	
Exapal_XM_021055669.2	neural_cell_adhesion_molecule_1	I-set/Ig_3/
Exapal_XM_021055671.2	polypeptide_N_acetylgalactosaminyltransferase_1	Glycos_transf_2/Ricin_B_lectin/
Exapal_XM_021055673.2	formimidoyltransferase_cyclodeaminase	FTCD_N/FTCD/FTCD_C/
Exapal_XM_021055674.2	limb_development_membrane_protein_1	LMBR1/LMBR1/
Exapal_XM_021055675.2	GTP_binding_protein_4	NOG1_N/NOG1/NOGCT/
Exapal_XM_021055676.2	nucleolar_protein_with_MIF4G_domain_1	MIF4G/MA3/
Exapal_XM_021055677.2	nuclear_cap_binding_protein_subunit_2	RRM_1/
Exapal_XM_021055678.2	decaprenyl_diphosphate_synthase_subunit_1	polyprenyl_synt/
Exapal_XM_021055679.2	GLI_pathogenesis_related_2	CAP/CAP/
Exapal_XM_021055681.2	somatostatin_receptor_2	7tm_1/
Exapal_XM_021055682.2		
Exapal_XM_021055684.2	phosphodiesterase_3A	PDEase_I/
Exapal_XM_021055686.2		TPR_10/TPR_12/TPR_12/TPR_12/TPR_12/
Exapal_XM_021055688.1		
Exapal_XM_021055689.1	calcium_responsive_transcription_factor	ALS2CR8/
Exapal_XM_021055690.2	histamine_receptor_H2	7tm_1/
Exapal_XM_021055691.2	mitogen_activated_protein_kinase_kinase_5	Pkinase/
Exapal_XM_021055692.2	transmembrane_protein_72	TMEM72/
Exapal_XM_021055693.2	collagen_type_VII_alpha_1_chain	VWA/
Exapal_XM_021055694.2		Usp/
Exapal_XM_021055695.2	achaete_scute_family_bHLH_transcription_factor_4	HLH/
Exapal_XM_021055696.2	armadillo_repeat_containing_8	
Exapal_XM_021055697.2		
Exapal_XM_021055698.2	MAP3K12_binding_inhibitory_protein_1	
Exapal_XM_021055700.2	visual_system_homeobox_2	Homeodomain/OAR/
Exapal_XM_021055701.2	EGF_like_repeats_and_discoidin_domains_3	EGF/EGF/EMI/EGF/hEGF/EGF/EGF/
Exapal_XM_021055703.2		
Exapal_XM_021055707.1		
Exapal_XM_021055709.2	ring_finger_protein_111	zf-RING_2/
Exapal_XM_021055711.2	ubiquitin_protein_ligase_E3_component_n_recognin_2	zf-UBR/ClpS/PRT6_C/
Exapal_XM_021055712.2	N_alpha_acetyltransferase_80_NatH_catalytic_subunit	Acetyltransf_1/
Exapal_XM_021055713.2		
Exapal_XM_021055714.2	BRF1_RNA_polymerase_III_transcription_initiation_factor_subunit	TF_Zn_Ribbon/TFIIB/TFIIB/BRF1/
Exapal_XM_021055715.2		PAN_1/
Exapal_XM_021055716.2	solute_carrier_family_3_member_1	SLC3A2_N/Alpha-amylase/
Exapal_XM_021055718.2	chromosome_16_open_reading_frame_89	DUF4735/
Exapal_XM_021055719.2	kelch_like_family_member_7	BTB/BACK/Kelch_1/Kelch_1/Kelch_1/
Exapal_XM_021055721.2		
Exapal_XM_021055723.2		DUF4735/
Exapal_XM_021055724.2	biogenesis_of_lysosomal_organelles_complex_1_subunit_2	BLOC1_2/
Exapal_XM_021055725.2		
Exapal_XM_021055726.2	tubulin_tyrosine_ligase	TTL/
Exapal_XM_021055727.2		Peptidase_S9_N/
Exapal_XM_021055728.1	BLM_RecQ_like_helicase	Helicase_C/RecQ_Zn_bind/
Exapal_XM_021055729.1		
Exapal_XM_021055731.2		
Exapal_XM_021055740.2	glucosamine_6_phosphate_deaminase_2	Glucosamine_iso/
Exapal_XM_021055741.2		PAN_1/
Exapal_XM_021055742.2	potassium_voltage_gated_channel_subfamily_H_member_7	Ion_trans/
Exapal_XM_021055744.2	potassium_voltage_gated_channel_subfamily_H_member_7	Ion_trans/cNMP_binding/
Exapal_XM_021055745.2		
Exapal_XM_021055746.2	cholinergic_receptor_nicotinic_alpha_6_subunit	Neur_chan_LBD/Neur_chan_memb/
Exapal_XM_021055747.1	harbinger_transposase_derived_1	DDE_Tnp_4/
Exapal_XM_021055748.1		RT_RNaseH/Integrase_H2C2/rve/
Exapal_XM_021055751.1		HTH_Tnp_4/DDE_Tnp_4/
Exapal_XM_021055752.2		
Exapal_XM_021055755.2	EGF_like_repeats_and_discoidin_domains_3	F5_F8_type_C/VWA/
Exapal_XM_021055756.2	splicing_factor_proline_and_glutamine_rich	RRM_1/RRM_1/NOPS/
Exapal_XM_021055757.2	tachykinin_receptor_3	7tm_1/
Exapal_XM_021055758.2		Fanconi_C/
Exapal_XM_021055759.2		F-box/
Exapal_XM_021055760.2	TM2_domain_containing_1	TM2/
Exapal_XM_021055761.2	intersectin_1	EF-hand_4/EF-hand_4/
Exapal_XM_021055763.2	RAB3C_member_RAS_oncogene_family	Ras/
Exapal_XM_021055764.1	LDL_receptor_related_protein_2	Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/cEGF/Ldl_recept_b/Ldl_recept_b/Ldl_recept_b/FXa_inhibition/
Exapal_XM_021055766.2	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank/Ank_2/Ank_2/
Exapal_XM_021055767.2	scavenger_receptor_class_B_member_2	CD36/
Exapal_XM_021055769.1		
Exapal_XM_021055770.2	NIM1_serine_threonine_protein_kinase	Pkinase/
Exapal_XM_021055774.2	protein_tyrosine_phosphatase_receptor_type_A	F5_F8_type_C/fn3/fn3/Y_phosphatase/Y_phosphatase/
Exapal_XM_021055776.2	neuropeptide_FF_receptor_2	7tm_1/
Exapal_XM_021055778.2		
Exapal_XM_021055779.2	plasminogen_receptor_with_a_C_terminal_lysine	DUF2368/
Exapal_XM_021055783.2	thrombospondin_1	TSP_1/
Exapal_XM_021055784.2	Janus_kinase_2	Pkinase_Tyr/Pkinase_Tyr/
Exapal_XM_021055786.2		Ank_2/
Exapal_XM_021055787.2	chromosome_6_open_reading_frame_58	Leg1/
Exapal_XM_021055788.2	tachykinin_receptor_2	7tm_1/
Exapal_XM_021055789.2	biogenesis_of_ribosomes_BRX1	Brix/
Exapal_XM_021055790.1		AAA_22/
Exapal_XM_021055791.2	zinc_finger_NFX1_type_containing_1	AAA_11/AAA_12/
Exapal_XM_021055792.2	solute_carrier_family_4_member_11	PTS_EIIA_2/HCO3_cotransp/HCO3_cotransp/
Exapal_XM_021055795.1	coagulation_factor_VIII	F5_F8_type_C/F5_F8_type_C/
Exapal_XM_021055796.1	EGF_like_repeats_and_discoidin_domains_3	F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/
Exapal_XM_021055797.1	EGF_like_repeats_and_discoidin_domains_3	F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/
Exapal_XM_021055800.2	structural_maintenance_of_chromosomes_2	SMC_N/
Exapal_XM_021055801.2	coiled_coil_domain_containing_58	Cid2/
Exapal_XM_021055802.2	chromosome_5_open_reading_frame_51	DUF5561/
Exapal_XM_021055803.2	hook_microtubule_tethering_protein_3	HOOK_N/HOOK/HOOK/
Exapal_XM_021055804.2	adrenoceptor_alpha_1B	7tm_1/
Exapal_XM_021055806.2	DEAD_box_helicase_59	zf-HIT/DEAD/Helicase_C/
Exapal_XM_021055812.2		Sulfotransfer_3/
Exapal_XM_021055813.2		
Exapal_XM_021055814.2	kelch_like_family_member_6	BTB/BACK/Kelch_1/Kelch_1/Kelch_1/
Exapal_XM_021055815.2		
Exapal_XM_021055816.2	poly_A_binding_protein_interacting_protein_1	PAM2/MIF4G/
Exapal_XM_021055819.1		Dynamin_N/
Exapal_XM_021055822.2	polypyrimidine_tract_binding_protein_1	RRM_8/RRM_5/RRM_1/
Exapal_XM_021055823.2	chromosome_22_open_reading_frame_15	Il2rg/
Exapal_XM_021055824.2	G_protein_coupled_receptor_83	7tm_1/
Exapal_XM_021055825.2	thyroid_stimulating_hormone_receptor	LRR_8/7tm_1/
Exapal_XM_021055826.2		
Exapal_XM_021055827.2	histamine_receptor_H2	7tm_1/
Exapal_XM_021055828.2		
Exapal_XM_021055829.1		
Exapal_XM_021055830.1	NYN_domain_and_retroviral_integrase_containing	RVT_1/RT_RNaseH_2/Integrase_H2C2/rve/
Exapal_XM_021055831.1	leucine_rich_repeat_kinase_2	Pkinase/
Exapal_XM_021055832.2		
Exapal_XM_021055833.1		zf-met/zf-C2H2_jaz/zf-C2H2_4/
Exapal_XM_021055834.2	zinc_finger_protein_217	zf-C2H2/zf-met/zf-met/zf-C2H2_4/zf-C2H2_6/zf-C2H2_6/zf-C2H2/zf-C2H2/zf-C2H2/
Exapal_XM_021055837.1	THAP_domain_containing_11	THAP/
Exapal_XM_021055839.1		Peptidase_A17/
Exapal_XM_021055840.1		
Exapal_XM_021055841.2		
Exapal_XM_021055842.2		RVT_1/
Exapal_XM_021055843.2		
Exapal_XM_021055844.1		DUF1759/DUF1758/Peptidase_A17/
Exapal_XM_021055845.1	integrator_complex_subunit_5	INTS5_N/INTS5_C/
Exapal_XM_021055846.2	mitoguardin_1	Miga/
Exapal_XM_021055849.2		
Exapal_XM_021055852.2		
Exapal_XM_021055853.2	H6_family_homeobox_2	Homeodomain/
Exapal_XM_021055854.1		
Exapal_XM_021055856.2	TCDD_inducible_poly_ADP_ribose_polymerase	
Exapal_XM_021055857.2		
Exapal_XM_021055858.2	BarH_like_homeobox_2	Homeodomain/
Exapal_XM_021055859.1	integrator_complex_subunit_5	INTS5_C/
Exapal_XM_021055860.1	titin	fn3/fn3/
Exapal_XM_021055864.1	zinc_finger_MYM_type_containing_2	DUF3504/
Exapal_XM_021055865.2	relaxin_family_peptide_receptor_2	LRR_8/7tm_1/
Exapal_XM_021055866.1	relaxin_family_peptide_receptor_1	7tm_1/
Exapal_XM_021055868.2	chloride_voltage_gated_channel_2	Voltage_CLC/
Exapal_XM_021055869.2	chloride_voltage_gated_channel_2	Voltage_CLC/
Exapal_XM_021055870.2		RVT_1/RT_RNaseH_2/Integrase_H2C2/
Exapal_XM_021055871.1		HTH_Tnp_4/DDE_Tnp_4/
Exapal_XM_021055872.1	histamine_receptor_H2	7tm_1/
Exapal_XM_021055873.1		
Exapal_XM_021055875.2	macrophage_scavenger_receptor_1	SRCR/
Exapal_XM_021055876.2	recombination_activating_1	zf-C3HC4/DUF1280/
Exapal_XM_021055877.1	signal_peptide_CUB_domain_and_EGF_like_domain_containing_3	EGF_CA/
Exapal_XM_021055878.1		DUF1758/
Exapal_XM_021055879.2		
Exapal_XM_021055880.2		Integrase_H2C2/DUF5641/
Exapal_XM_021055882.2	contactin_2	fn3/
Exapal_XM_021055883.1		
Exapal_XM_021055884.1	ribosomal_protein_S17	Ribosomal_S17e/
Exapal_XM_021055885.2		RVT_1/RT_RNaseH/Integrase_H2C2/rve/
Exapal_XM_021055888.1	somatostatin_receptor_5	7tm_1/
Exapal_XM_021055889.1	somatostatin_receptor_5	7tm_1/
Exapal_XM_021055890.2	NLR_family_pyrin_domain_containing_12	NACHT/
Exapal_XM_021055891.1		TIR_2/
Exapal_XM_021055893.2		Laminin_G_3/Laminin_G_3/
Exapal_XM_021055894.2	melatonin_receptor_1B	7tm_1/
Exapal_XM_021055895.2	prokineticin_receptor_1	7tm_1/
Exapal_XM_021055896.1		
Exapal_XM_021055899.2	FAT_atypical_cadherin_3	
Exapal_XM_021055902.1		EGF/
Exapal_XM_021055903.2	meprin_A_subunit_beta	Astacin/TSP_1/MAM/ShK/ShK/ShK/ShK/
Exapal_XM_021055906.1	EGF_like_repeats_and_discoidin_domains_3	
Exapal_XM_021055909.1	THAP_domain_containing_3	THAP/HTH_Tnp_4/DDE_Tnp_4/
Exapal_XM_021055910.2	SET_domain_containing_4	SET/
Exapal_XM_021055911.2	major_facilitator_superfamily_domain_containing_6	MFS_1_like/
Exapal_XM_021055912.1	exocyst_complex_component_3	Sec6/
Exapal_XM_021055913.2		
Exapal_XM_021055914.2		
Exapal_XM_021055915.2	minichromosome_maintenance_complex_component_3	MCM_N/MCM/MCM_lid/
Exapal_XM_021055916.1	sushi_von_Willebrand_factor_type_A_EGF_and_pentraxin_domain_containing_1	Sushi/HYR/Sushi/Sushi/Sushi/HYR/Sushi/Sushi/Sushi/HYR/Sushi/HYR/HYR/Ephrin_rec_like/Ephrin_rec_like/Ephrin_rec_like/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF_CA/EGF/EGF/EGF/EGF_CA/hEGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/Laminin_G_3/EGF/Ephrin_rec_like/
Exapal_XM_021055919.2	neural_EGFL_like_1	EGF/EGF_CA/EGF_CA/
Exapal_XM_021055922.2		EGF/
Exapal_XM_021055924.2	thioredoxin_reductase_1	Pyr_redox_2/Pyr_redox_dim/
Exapal_XM_021055925.2	collagen_type_VII_alpha_1_chain	VWA/
Exapal_XM_021055926.2	5_hydroxytryptamine_receptor_4	7tm_1/
